Source|Timestamp|MsgId|PingId|CheName|EventType|Action|JobCount|FromPosition|ToPosition|TimeTaken_ms
AIL|2026-05-27T14:42:44.795Z|2257620001|2257620001|R101|OpStateUpdatedResponse|||||2269
AIL|2026-05-27T14:42:44.897Z|2257620001||R101|WaListUpdated||1|||
BMS|2026-05-27T14:42:49.930Z|20260527174245595|2257620001||WaListUpdatedResponse|||||5033
AIL|2026-05-27T14:42:56.180Z|565576||R101|WaListUpdated||1|||
BMS|2026-05-27T14:43:00.131Z|20260527174259559|565576||WaListUpdatedResponse|||||3951
AIL|2026-05-27T14:43:07.439Z|-3704980||R101|WaListUpdated||1|||
BMS|2026-05-27T14:43:20.730Z|20260527174318607|-3704980||WaListUpdatedResponse|||||13291
BMS|2026-05-27T14:43:35.454Z|2258150001||R101|WaAccepted|||||
AIL|2026-05-27T14:43:36.561Z|2258150001|2258150001|R101|WaAcceptedResponse|||||1107
AIL|2026-05-27T14:43:36.663Z|2258150001||R101|WaCreated|||Location: 11H54B.2|QcTarget: Q106-0|
BMS|2026-05-27T14:43:38.358Z|20260527174337822|2258150001|R101|WaCreatedResponse|||||1695
AIL|2026-05-27T14:48:55.744Z|565980||R101|WaCancelled|||||
AIL|2026-05-27T14:48:55.847Z|565980||R101|WaListUpdated||1|||
BMS|2026-05-27T14:49:00.412Z|20260527174857058|565980||WaListUpdatedResponse|||||4565
BMS|2026-05-27T14:49:00.426Z|20260527174858122|565980||WaCancelledResponse|||||4579
AIL|2026-05-27T14:51:07.404Z|-3708217||R101|WaListUpdated||1|||
BMS|2026-05-27T14:51:13.640Z|20260527175108270|-3708217||WaListUpdatedResponse|||||6236
AIL|2026-05-27T14:51:30.956Z|-3708375||R101|WaListUpdated||1|||
BMS|2026-05-27T14:51:43.621Z|20260527175140915|-3708375||WaListUpdatedResponse|||||12665
AIL|2026-05-27T14:53:26.898Z|-3709120||R101|WaListUpdated||1|||
BMS|2026-05-27T14:53:32.207Z|20260527175328530|-3709120||WaListUpdatedResponse|||||5309
AIL|2026-05-27T14:58:14.651Z|566832||R101|WaCreated|||Location: 11H54B.2|QcTarget: Q106-0|
BMS|2026-05-27T14:58:27.462Z|20260527175823147|566832|R101|WaCreatedResponse|||||12811
AIL|2026-05-27T14:58:39.516Z|566859||R101|WaCancelled|||||
AIL|2026-05-27T14:58:39.618Z|566859||R101|WaListUpdated||1|||
BMS|2026-05-27T14:58:42.138Z|20260527175840165|566859||WaCancelledResponse|||||2520
BMS|2026-05-27T14:58:42.168Z|20260527175840239|566859||WaListUpdatedResponse|||||2550
BMS|2026-05-27T14:59:22.569Z|2267620001||R101|CheDriveActivity|ARRIVED_AT_LOCATION|||YardSection: 11H53|
AIL|2026-05-27T14:59:24.096Z|2267620001|2267620001|R101|CheActivityResponse|||||1527
AIL|2026-05-27T14:59:24.198Z|2267620001||R101|WaListUpdated||1|||
BMS|2026-05-27T14:59:34.397Z|20260527175929889|2267620001||WaListUpdatedResponse|||||10199
BMS|2026-05-27T14:59:35.884Z|2267750001||R101|CheDriveActivity|ARRIVED_AT_LOCATION|||YardSection: 11H46|
AIL|2026-05-27T14:59:36.808Z|2267750001|2267750001|R101|CheActivityResponse|||||924
AIL|2026-05-27T14:59:36.907Z|2267750001||R101|WaListUpdated||1|||
BMS|2026-05-27T14:59:38.176Z|20260527175937581|2267750001||WaListUpdatedResponse|||||1269
AIL|2026-05-27T15:01:22.496Z|-3712283||R101|WaListUpdated||1|||
BMS|2026-05-27T15:01:29.168Z|20260527180122559|-3712283||WaListUpdatedResponse|||||6672
AIL|2026-05-27T15:02:09.548Z|-3712625||R101|WaListUpdated||1|||
AIL|2026-05-27T15:02:31.483Z|-3712755||R101|WaListUpdated||1|||
BMS|2026-05-27T15:02:34.314Z|20260527180229228|-3712625||WaListUpdatedResponse|||||24766
BMS|2026-05-27T15:02:34.341Z|20260527180232491|-3712755||WaListUpdatedResponse|||||2858
AIL|2026-05-27T15:04:13.311Z|-3713432||R101|WaListUpdated||1|||
BMS|2026-05-27T15:04:17.854Z|20260527180416043|-3713432||WaListUpdatedResponse|||||4543
BMS|2026-05-27T15:05:15.815Z|2271150001||R101|WaAccepted|||||
AIL|2026-05-27T15:05:16.582Z|2271150001|2271150001|R101|WaAcceptedResponse|||||767
AIL|2026-05-27T15:05:16.683Z|2271150001||R101|WaCreated|||Location: 11H46F.5|UnspecifiedPosition|
BMS|2026-05-27T15:05:21.581Z|20260527180517359|2271150001|R101|WaCreatedResponse|||||4898
AIL|2026-05-27T15:06:02.545Z|567374||R101|WaCancelled|||||
AIL|2026-05-27T15:06:02.645Z|567374||R101|WaCreated|||Location: 11H46F.4|UnspecifiedPosition|
BMS|2026-05-27T15:06:06.053Z|20260527180603045|567374||WaCancelledResponse|||||3408
BMS|2026-05-27T15:06:06.068Z|20260527180603231|567374|R101|WaCreatedResponse|||||3423
AIL|2026-05-27T15:06:27.916Z|567400||R101|WaUpdated|||||
BMS|2026-05-27T15:06:35.383Z|20260527180634205|567400|R101|WaUpdatedResponse|||||7467
AIL|2026-05-27T15:08:05.528Z|567486||R101|WaCancelled|||||
AIL|2026-05-27T15:08:05.630Z|567486||R101|WaCreated|||Location: 11H46F.3|UnspecifiedPosition|
BMS|2026-05-27T15:08:09.919Z|20260527180806012|567486|R101|WaCreatedResponse|||||4289
BMS|2026-05-27T15:08:09.934Z|20260527180806505|567486||WaCancelledResponse|||||4304
AIL|2026-05-27T15:10:43.255Z|567612||R101|WaCancelled|||||
AIL|2026-05-27T15:10:43.357Z|567612||R101|WaCreated|||Location: 11H46F.2|UnspecifiedPosition|
BMS|2026-05-27T15:10:52.257Z|20260527181044834|567612|R101|WaCreatedResponse|||||8900
BMS|2026-05-27T15:10:52.272Z|20260527181044862|567612||WaCancelledResponse|||||8915
BMS|2026-05-27T15:12:40.858Z|2275600001||R101|OpStateUpdated|DISENGAGED||||
AIL|2026-05-27T15:12:41.606Z|2275600001|2275600001|R101|OpStateUpdatedResponse|||||748
AIL|2026-05-27T15:12:41.707Z|2275600001||R101|WaUpdated|||||
AIL|2026-05-27T15:12:45.875Z|567701||R101|WaCancelled|||||
AIL|2026-05-27T15:12:45.977Z|567701||R101|WaCreated|||Location: 11H46F.1|TruckSlot: 126(2)|
BMS|2026-05-27T15:12:46.883Z|20260527181244882|2275600001|R101|WaUpdatedResponse|||||5176
BMS|2026-05-27T15:12:46.898Z|20260527181246672|567701|R101|WaCreatedResponse|||||921
AIL|2026-05-27T15:12:47.166Z|567702||R101|WaCancelled|||||
AIL|2026-05-27T15:12:47.267Z|567702||R101|WaListUpdated||1|||
AIL|2026-05-27T15:12:48.409Z|567705||R101|WaListUpdated||1|||
BMS|2026-05-27T15:12:52.455Z|20260527181247494|567702||WaListUpdatedResponse|||||5188
BMS|2026-05-27T15:12:52.471Z|20260527181247956|567701||WaCancelledResponse|||||6494
BMS|2026-05-27T15:12:52.485Z|20260527181248751|567702||WaCancelledResponse|||||5218
BMS|2026-05-27T15:12:52.513Z|20260527181250352|567705||WaListUpdatedResponse|||||4104
BMS|2026-05-27T15:13:10.029Z|2275900001||R101|OpStateUpdated|ENGAGED||||
AIL|2026-05-27T15:13:12.845Z|2275900001|2275900001|R101|OpStateUpdatedResponse|||||2816
AIL|2026-05-27T15:13:12.947Z|2275900001||R101|WaListUpdated||1|||
BMS|2026-05-27T15:13:23.179Z|20260527181319805|2275900001||WaListUpdatedResponse|||||10232
BMS|2026-05-27T15:13:33.861Z|2276130001||R101|WaAccepted|||||
AIL|2026-05-27T15:13:34.767Z|2276130001|2276130001|R101|WaAcceptedResponse|||||906
AIL|2026-05-27T15:13:34.869Z|2276130001||R101|WaCreated|||Location: 11H46F.1|TruckSlot: 126(2)|
BMS|2026-05-27T15:13:43.628Z|20260527181340907|2276130001|R101|WaCreatedResponse|||||8759
AIL|2026-05-27T15:13:50.601Z|567749||R101|WaUpdated|||||
BMS|2026-05-27T15:13:56.197Z|20260527181351743|567749|R101|WaUpdatedResponse|||||5596
AIL|2026-05-27T15:15:55.051Z|567875||R101|WaCancelled|||||
AIL|2026-05-27T15:15:55.153Z|567875||R101|WaListUpdated||1|||
BMS|2026-05-27T15:15:56.310Z|20260527181556000|567875||WaListUpdatedResponse|||||1157
BMS|2026-05-27T15:15:56.324Z|20260527181556013|567875||WaCancelledResponse|||||1171
BMS|2026-05-27T15:16:53.385Z|2278130001||R101|CheDriveActivity|ARRIVED_AT_LOCATION|||YardSection: 11H43|
AIL|2026-05-27T15:16:54.365Z|2278130001|2278130001|R101|CheActivityResponse|||||980
AIL|2026-05-27T15:16:54.466Z|2278130001||R101|WaListUpdated||1|||
BMS|2026-05-27T15:16:57.572Z|2278170001||R101|CheDriveActivity|ARRIVED_AT_LOCATION|||YardSection: 11H42|
AIL|2026-05-27T15:16:58.892Z|2278170001|2278170001|R101|CheActivityResponse|||||1320
AIL|2026-05-27T15:16:58.994Z|2278170001||R101|WaListUpdated||1|||
BMS|2026-05-27T15:17:00.775Z|20260527181655949|2278130001||WaListUpdatedResponse|||||6309
BMS|2026-05-27T15:17:00.806Z|20260527181659996|2278170001||WaListUpdatedResponse|||||1812
BMS|2026-05-27T15:17:41.674Z|2278610001||R101|WaAccepted|||||
AIL|2026-05-27T15:17:42.375Z|2278610001|2278610001|R101|WaAcceptedResponse|||||701
AIL|2026-05-27T15:17:42.471Z|2278610001||R101|WaCreated|||Location: 11H42B.2|UnspecifiedPosition|
AIL|2026-05-27T15:18:21.172Z|568003||R101|WaCancelled|||||
AIL|2026-05-27T15:18:21.274Z|568003||R101|WaCreated|||Location: 11H42B.1|TruckSlot: 256(2)|
BMS|2026-05-27T15:18:23.928Z|20260527181821832|568003||WaCancelledResponse|||||2654
BMS|2026-05-27T15:18:37.395Z|20260527181836916|568003|R101|WaCreatedResponse|||||16121
